Feature,Importance
OverallQual,27.120064650533354
GrLivArea,14.079423978806663
TotalBsmtSF,5.999059591370899
1stFlrSF,4.119308025484389
ExterQual,3.9540618452205067
LotArea,3.0401266691200104
Fireplaces,2.7186716373202073
CentralAir,2.6869365785152555
GarageCars,2.622851554551678
OverallCond,2.547784510119967
BsmtFinSF1,2.4444208007947807
MSZoning,1.8374759666187257
Neighborhood,1.670085942545737
GarageType,1.5822790705708996
YearBuilt,1.579690117397826
2ndFlrSF,1.5304541039180275
KitchenQual,1.5146949008054376
FullBath,1.4682434891004168
GarageYrBlt,1.371752880162033
YearRemodAdd,1.2331950410036392
TotRmsAbvGrd,1.1460092182888004
GarageFinish,1.129013313728303
BsmtFinType1,1.024536161354253
GarageArea,0.8857182019202546
BsmtQual,0.849160210927957
GarageQual,0.8003003408986759
SaleCondition,0.7134195977463234
HeatingQC,0.6844083922558133
LotFrontage,0.6638420753618484
OpenPorchSF,0.6610130892701135
BedroomAbvGr,0.5474241568260584
PavedDrive,0.44845457024721275
BsmtExposure,0.43972400640972586
FireplaceQu,0.4236345390565082
BsmtFullBath,0.3879594649506879
HalfBath,0.3486405588555902
Functional,0.32393675334764566
WoodDeckSF,0.3057274297979067
BsmtCond,0.2781608587042064
ScreenPorch,0.2554229766544121
MasVnrArea,0.244989208817143
BsmtUnfSF,0.24224576724973396
Condition1,0.18878438011370915
PoolQC,0.18186493818792776
EnclosedPorch,0.17246622378117185
Electrical,0.1724102850688264
SaleType,0.16178730130056387
YrSold,0.149047568039261
RoofStyle,0.14272399406671302
Fence,0.11356503292269621
ExterCond,0.08137280451879265
Exterior1st,0.07677957648541486
LandContour,0.07205831277384449
MoSold,0.06335566887550756
LotShape,0.052742408175893984
KitchenAbvGr,0.05231565249452481
GarageCond,0.052184549936055556
MasVnrType,0.05104110227645915
BsmtFinSF2,0.049766851961653286
Heating,0.031177493108589308
Exterior2nd,0.030497536609883143
MiscVal,0.02952726497932126
Alley,0.024976947667148836
MiscFeature,0.023922232848997416
LandSlope,0.02278488094516099
HouseStyle,0.021159425256639497
Condition2,0.017497237018181643
LotConfig,0.01664695357665179
BldgType,0.014106694128335203
LowQualFinSF,0.0040979577107796835
MSSubClass,0.0015863369611119876
RoofMatl,0.0014071612921646496
PoolArea,0.0011735765702830232
BsmtFinType2,0.00046384799607476535
Foundation,0.0003855557220897881
3SsnPorch,0.0
Street,0.0
Utilities,0.0
BsmtHalfBath,0.0
