iter	RMSE
0	0.3874495228
1	0.3748821353
2	0.3630609595
3	0.3517239827
4	0.3421539888
5	0.3322083406
6	0.3233700004
7	0.314619412
8	0.3061525947
9	0.2978957404
10	0.2898899578
11	0.2827793268
12	0.2758508364
13	0.2693094151
14	0.2637599286
15	0.257431206
16	0.2521679735
17	0.2462769812
18	0.2409506409
19	0.2360488688
20	0.2318641515
21	0.2272561991
22	0.2232554346
23	0.2194870504
24	0.2151142575
25	0.211226068
26	0.2080646062
27	0.2050173604
28	0.201698034
29	0.1988873435
30	0.1960439802
31	0.1935196088
32	0.1907564252
33	0.1887601324
34	0.1860532198
35	0.1836840114
36	0.1813344274
37	0.1787847955
38	0.1768931062
39	0.1747220307
40	0.1725737821
41	0.1705691183
42	0.1691052842
43	0.1676373616
44	0.1656527193
45	0.1640086823
46	0.1628532059
47	0.1612925766
48	0.159715155
49	0.1579062456
50	0.1565264592
51	0.155120103
52	0.1538359373
53	0.1523566883
54	0.1513627914
55	0.1503719008
56	0.1493789459
57	0.1482569333
58	0.1472525347
59	0.1462928031
60	0.1452917799
61	0.144439658
62	0.1435543908
63	0.1426891174
64	0.1415349163
65	0.140914133
66	0.1403549901
67	0.1395500012
68	0.1388703504
69	0.1383064475
70	0.1377736541
71	0.1372167225
72	0.1365829837
73	0.1361132015
74	0.1355301424
75	0.1348024796
76	0.1340551639
77	0.1334145005
78	0.133026669
79	0.1327127874
80	0.1321805849
81	0.1316352877
82	0.1312025873
83	0.130626386
84	0.1301831558
85	0.1294300509
86	0.1289827775
87	0.1286158964
88	0.1282239986
89	0.1277518494
90	0.1273942025
91	0.1269221368
92	0.1266563126
93	0.1261798853
94	0.1257731013
95	0.1255553734
96	0.1251300052
97	0.1249050626
98	0.1245103312
99	0.1241570468
100	0.1238990951
101	0.1235009354
102	0.123224024
103	0.1229254421
104	0.1225318853
105	0.1222495905
106	0.1218094086
107	0.1214058044
108	0.121195962
109	0.1210114176
110	0.1207616034
111	0.1205017542
112	0.1202278132
113	0.1200020076
114	0.1196741997
115	0.1194414886
116	0.1191726438
117	0.1189157518
118	0.1187294265
119	0.1184986935
120	0.1183536693
121	0.1180998155
122	0.1179282407
123	0.1176537838
124	0.1173543643
125	0.1171783073
126	0.1169819516
127	0.1168242122
128	0.1166591773
129	0.1164303541
130	0.116130026
131	0.1159372717
132	0.1157693348
133	0.1155768959
134	0.115456945
135	0.1152480385
136	0.1150889246
137	0.1149874753
138	0.1148265855
139	0.1145757922
140	0.114377315
141	0.1141632834
142	0.1139465293
143	0.1137976636
144	0.1136344606
145	0.1134705995
146	0.1133424878
147	0.1131069898
148	0.1129891165
149	0.1127906552
150	0.1125576378
151	0.1124433828
152	0.112357686
153	0.1121821186
154	0.1120342879
155	0.1118757775
156	0.1117442003
157	0.1115876852
158	0.1114379697
159	0.1113235697
160	0.1111109013
161	0.1109379484
162	0.1108256018
163	0.1106563462
164	0.1105241462
165	0.1103477041
166	0.1102222215
167	0.1101116731
168	0.1099465327
169	0.1098237515
